book_title,rating,text
The Way of Kings,1,"If you have to read The Way of Kings - which you shouldn't do, but if you have to because your dad gave it to you and he's your dad - I recommend you do so while a little bit drunk. It makes this book a lot more fun. For example, when passages like this occur: She stared eastward, her expression horrified, eyes wide and sorrowful. It was the face of a child watching a brutal murder that stole her innocence. . . . well, I'd much rather read that sort of thing while slightly drunk.Now, I know it looks like I'm pushing you toward cirrhosis, given the length of the book and the fact that howlers of this kind pop up frequently. But hey: I'm not suggesting a drinking game (although it would be ridiculously easy to construct one) and actually, although The Way of Kings is quite terrible, it is never difficult to read. Part of that is because Sanderson repeats every piece of information at least three times and rehashes characterization infinitely, so you're unlikely to lose track of where you are because things have gone too quickly or subtly. It's like the whole thing was written as an audiobook, or something, with the assumption that no one would pause it during bathroom breaks. So it goes quickly - I probably could have read it in a day or two if I'd cared enough about what happened to put aside a weekend for the book.Relatedly, The Way of Kings isn't entirely unsalvageable, either. Part of the reason it's so bad (perhaps even the primary reason) is because Sanderson doesn't seem to know what is important. The world building seems to get a lot of praise in review, but reading the book, it seems more like he'd rather be a video or computer game writer or designer than a novel writer: there's a distinct WOW feel to this book, and the world has a lot of gimmicks, and the plot has really no forward momentum - it's like everyone is bouncing around until they reach the next level. (I'm just saying: when you find yourself writing about ""anticipationspren"" that is a Red Flag.) So, if he'd cut out the prelude and the prologue, which are mostly establishing the setting - and it's not, frankly, such an opaque setting that a reasonably intelligent person couldn't figure it out as they went along (and anyway, there is something to be said for not telling your readers more than you tell your characters) - the book already has a more compelling opening. Cut even more - follow the Mamet rule and get rid of the first 20 minutes/150 pages - so that we start with Kaladin being glum in a slave cart and we're great. But even more egregious than the info-dumping (stuff I don't need to know: currency rates in anything but the broadest outline, what tertiary characters are wearing, and so on) are the endless flashbacks. I wish we could eliminate flashbacks from literature, I really do. But even if we can't do that, I wish we could limit Brandon Sanderson to a couple - again, this isn't so opaque or intricate a book that I can't pick up clues about formative experiences when they are referenced twenty times a chapter, okay? BUT ALSO: that stuff doesn't matter. It really, really doesn't. The book would be both better and shorter without those flashbacks. Like, of course it's going to be ten books: fully half of each book is going to be extraneous to the plot.The other big problem, as you might have guessed, is that Sanderson thinks his readers are very stupid. For example, if something important has just happened, and most of the book has been devoted to its occurrence, I don't need: ""Something just changed,"" Moash whispered, hand up. ""Something important."" Yeah, we'd already got there! It's terrible writing anyway, just from an aesthetic perspective. Likewise, I don't need every bit of characterization spelled out for me. For one, a bit of ambiguity is valuable - otherwise it looks like a casting call or stage directions. For another, character is expressed by dialogue and action and if a writer is a good hand in at least one of those, then passages like Navani was always at her most genuine when playing with new fabrials. It was one of the few times when one got to see her without any pretense. This wasn't Navani the king's mother or Navani the political schemer. This was Navani the excited engineer. are entirely unnecessary.Good things about this book: The food sounds delicious. The male/female divide is kind of interesting. Kiiiiind of. It passes the Bechdel test!Other bad things: The battle and fight scenes were super boring and awkwardly written, and there are a loooooooot of them."
The Way of Kings,1,"The Way of Kings was recommended to me by several people independently of one another. One of them even went so far to say it was the best book they've ever read.It is not a good book. It's 1001 pages of Brandon Sanderson presenting his cartoon world of Roshar in juvenile, trashy prose like:
He looked eastward, over the Shattered Plains. His home. His sepulcher. This life on them was ripping him apart. The bridgemen looked up to him, their leader, their saviour. But he had cracks in him, like the cracks in the stone here at the edges of the Plains.
There is a strong theme of religion, duty, and sacrifice throughout. What I call ""the metaphysics of the Shattered Plains"" is the theme that life is hell, and our purpose in life is really to ease the suffering of our fellow man before their inevitable and tragic end at the hands of a power beyond our control and comprehension. About half way into the book I started thinking ""Brandon Sanderson must be religious"". A hundred pages more got me thinking ""he's not only religious, he's Mormon, just like Orson Scott Card."" And yes, that turns out to be the case.Then a bit later, I thought ""Brandon Sanderson is eight years old."" The story is filled with childish categories of things. Like different ""colors of wine"", and the different gemstones serving different functions, and the fact that people with light eyes and black hair are somehow the rulers of the world, and the ones with dark eyes (and, to a greater extent, dark skin) are their servants. And the names of things, and all the internal jargon. There are entire paragraphs whose every other word is just jargon:
Oh, Stormfather, Adolin thought, stomach twisting in pain. Jezerezeh, Kelek, and Ishi, Heralds above. Let me find a way to right this. Please. ""I will return to Alethkar,"" Dalinar said. ""Though I hate to leave our army here down a Shardbearer.""
I just can't take this seriously.And the spren. Oh my god, the spren. Apparently this world is full of spirit creatures called ""spren"", different species of which show up to feed on different spiritual experiences. There are ""anticipationspren"" and ""gloryspren"". Every time some kind of spren was mentioned in the text, eyerollspren rose from the ground around me, for real. It is an infuriatingly terrible device that serves no apparent purpose and frequently invites contradictions in the story.On the positive side, there are some interesting ideas in here about taboo and gender roles. Also on the positive side, I can now safely remove all works by Brandon Sanderson from my reading list, and I can guiltlessly ignore all future recommendations by people who say they've enjoyed this uninspiring, needlessly verbose, self-indulgent garbage."
The Way of Kings,1,"I'm giving up on this one. And I'm seriously befuddled. The reviews for this book were so uniformly wonderful and full of good things. ""Great World-Building""; ""Well-thought out magic systems""... All the stuff I look for in Fantasy. So I was really surprised when this turned into everything I hate about Fantasy novels. 1. Full-on HoodooMy best experiences with Fantasy novels have always begun from a relatable place. A world mostly like ours and characters with recognizable emotions, desires and problems make the rest of the author's universe palatable. But when your first introduction is to The Weird it doesn't compel me to read further. 2. Long action sequences up frontI feel like I fell into Boris Vallejo's nightmare. 3. Ganky names""fearspren""; ""Voidbringers""--this is bad, adolescent writing. 4. Goo?!?Every emotion seems to have a corresponding fairy-type creature associated with it, called ""---spren"". (ie. fearspren). In the opening pages one of these is described as ""globs of purple goo"". Really. Clunky, weak and inartful. I'm just not impressed. A few reviewers say that you have to keep reading and that it picks up about 800 pages in. No offense, but I can read 3 good books with an 800 page investment. I don't care to put that kind of time into a book that has me so frustrated at 200 pages. "
The Way of Kings,1,"I feel like I really need to get to writing this review, but I was so let down by this work that I just don't know how to go about writing it. Course... I could always go the way of a list! It's a terrible way to review, but it'll work for now. Probably forever as I don't see myself spending too much time with it.1. If you've read other works by Sanderson you'll recognize the character types. They're what he's grown accustomed to and uses for every book. Usually there's something to set them apart from the characters of other books, but this time it didn't happen. 2. The point of view changes were poorly placed. I'm not really much of a fan of having a set rotation for each character, but this... this was just too sporadic. 3. Palindromes. Palindromes are not cool. I know a lot of people seem to think words that mirror themselves are interesting, but they aren't. Sadly Sanderson is a fan of them so there are a ton of the things in this book. It's explained away as being tied into a religion, but it doesn't make them any less annoying. 4. World building isn't great. Throughout the entire novel I was left wondering about the world - not just the workings of society, but the terrain and how it all tied together. I'm left thinking of this world as a rocky wasteland, but I'm not sure that's right. 5. There are intermission chapters that come in sets of three throughout the book. They serve no purpose though. They introduce us to characters that will probably be in the story later, but being introduced now seems like such a waste and just a means to increase the pages of the first book. I certainly won't remember these random characters in a year or however long it is until we see them again. A few pages on them just isn't going to leave a lasting impression. They really should have been introduced when they served a purpose to the story. The chapters with Sveth were somewhat relevant and became more so towards the end, but even those felt out of place.6. The dialog is pretty terrible. Well learned characters or characters with a sharp mind come across as nothing like that. There's the character Shallan who is supposed to have a sharp tongue, but her words are akin to a mdidle schoolers. She really has no good argument or comebacks. Then there's Wit... a character who is supposed to be witty. Wonderful play on his name, huh? He's not witty. He's an elementary school kid. He does nothing in the book to earn him the title of Wit. He calls people slow or says they wear silly clothing and that's his wit. 7. Sanderson just rambles on and on and on for no reason. He spends so much time writing about absolutely nothing. He tried to build up to stuff in the story, but failed miserably. By the time he ever got to a ""big reveal"" you already knew what it was and at that point you, frankly, just didn't give a damn. The book was never really interesting until the last 100 pages. Events happened there that were predictable, but it was entertaining still. "
The Way of Kings,1,"“The Way of Kings” is tedium defined.What novel is everyone else reading? My objections to this tome are almost its equal in length. I wish to be fair, and mete out credit where due and marshal criticism only when I think it justified. There are really 4 main characters in this novel of 1000+ pages, one of whom has myriad lengthy, unnecessary flashbacks (not little flashes, mind you – dozens of chapters). The world is at war with a nebulous enemy, lots of weird generic-sounding prophecy is bandied about, and everyone is a Mary Sue. To be very direct, my opinion is as follows:Good stuff: 1. The storms. Although this borrows from ASOIAF, having a world besets by extreme meterological conditions is plausible and relatively fresh. It seizes on the unpredictability of medieval conflicts, and how they may be decided by factors beyond human control (e.g. the Battle of Hastings).2. Action. I don’t need much of this to be satisfied with sci-fi or fantasy. In fairness, “The Way of Kings” has far too little physical combat when compared to its ridiculous dialogue and long expositions. But often BS does a nice, clean job with the combat and the magic system (certain swords take time to be conjured when starting a battle or when dropped, for example).3. Gender roles. Only women are literate in this world. It’s an interesting dynamic with lots of possibilities for narrative subtlety, deception, or mechanisms for keeping the societies coherent. Ultimately, this falls through because nothing interesting ever happens vis-à-vis this huge difference in education between men and women. Men fight and run armies, women manage lands and letters and books and so on. That is the literal and dull extent to which BS takes it.These strengths I do admit. Alas, they were superseded by the mediocre, tired, and unremarkable, as I will now argue.Show>TellWhenever a character or place is introduced, Sanderson proceeds to explain him/her/it to us directly, immediately. Soulless infodumps abound, nothing is ever shown to the reader. There is no personality and no flavor to any of the narrative. No land or culture means anything to me, except that the Parshendi are “bad” and “violent” and paint their faces. I’d say the entire novel is unadulterated narrative -- unthinking, unflinching, pleased with its details merely because the details exist. It is insufficient to have maps and character names and lengthy dramatis personae. If everyone is a milquetoast shadow of a human being, things get tedious fast. That tribe? They paint their faces. That one? They have such-and-such religion based on XYZ, explained immediately after some dialogue about their religion. It is all babble. Already forgotten.Every single character is impossibly daft and literal, and is a major noodge.A conversation with one of the cleverest heroes is presented below, and there are dozens of similar quality: [Conversation between a male merchant and Shallan, a female character, about buying used books. Shallan speaks first.]“Is ambition such an unseemly attribute in a young woman?”“Well, no, I suppose not.” He smiled again—the thick, toothy smile of a merchant trying to put someone at ease. “I can see you are a woman of discriminating taste.”“I am,” Shallan said, voice firm though her heart fluttered. Was she destined to get into an argument with everyone she met? “I do like my meals prepared very carefully, as my palate is quite delicate.”“Pardon. I meant that you have discriminating taste in books.”“I’ve never eaten one, actually.”Groan. Fucking groan. Nothing funny happens, ever.No one has wit, even a character named Wit who the narrator tells us incessantly is ... witty. Everyone has the same emotional sophistication: that of an obnoxious 6th grader.No cursing or any adult situations of any kind. Perhaps because of the author’s Mormonism (although ‘tis egregious regardless) there is no adult dialogue or adult situation to be found in the 1,007 pages herein. When people curse, they say “storm you!” which slaps me right out of the story. There is no sex or romance or even a hint of one adult interpersonal dynamic. This is a tribal medieval society with tensions over land and religion and power, albatrossed by a Sunday-school content filter. Why is this author so stultified when it comes to real adult fantasy? The Wheel of Time is practically pornographic next to Stormlight, which should be in the YA section. Of course fantasy doesn’t need to be dirty or violent to be good, but the absence of any naughtiness and the profusion of awkward workarounds, particularly for sexual tension, is conspicuous. There is mild violence and a touch of blood, again consistent with a predictably American pattern of cultural conservatism.When a middle-aged couple finally realized their mutual love after many years and began ""courting"" I shuddered at the Terran creepiness.Atrocious writing and shameful world buildingThis is not a new or particularly interesting world. Everything is on loan. Characters spend their lives studying the infantile philosophy of the world, which is hammered into the reader again and again. Sanderson has also famously said he tries for “Orwellian” prose. I think he thinks this means compound words:Sword moves: Windstance, Smokestance, Stonestance, etc.Magical nouns: Shardplate. Shardstone. Voidbringers. Oathpact. I repeat: oathpact. Magic happenings: incredibly literal and boring. When someone is mad, “angerspren” (small magic beings) spring out of the nearby rocks/trees/landscape/objects. When a character is afraid, “fearspren” sprout. Passionspren. And so on. Horrible.Creatures: Chasmfiend. I kid you not.Characters: one major character is a great swordsman, uncle of the young king, and is nicknamed “The Blackthorn”. More-than-merely-borrowed from ASOIAF. The cousin of awful: derivative.Chapter intros: Every chapter is preceded by an excerpt of historical text, syllogisms, or lore from within the Stormlight universe. Which would be cool if it was cohesive (it isn’t) or lead to a reveal (it doesn’t) or wasn’t part of the Elantris or Mistborn novels (as it was in all cases). Think about Frank Herbert’s Dune, where those excerpts were utilized to terrific effect, and a reader immediately sees BS’s chapter intros as perfunctory and pointless.Clichés: Downtrodden, ripped warrior slave is slow to accept his obvious Superpowers. No main character is ever in real danger. Everyone is hot and brilliant. The nefarious enemy race turns out to have a hive mind. Economics: This has been pointed out elsewhere. There exists the ability, not uncommon at that, to Soulcast/transform one material into another. Stone into gold, or food, or anything. This abnegates the material concerns and need for forced labor/feudal systems/farming that animate much of the conflict. Not thought out and rings false. Let’s be clear. The unimaginative isn’t a crime because it is merely boring. This giant novel is, after all, a poor but earnest attempt at world building. Rather, the problem is this: as soon as my eyes pass across “fearspren”, suddenly I’m in a café. When they see “Oathpact” I’m groaning in my bed watching the ceiling fan. Feats by the “Blackfishthorn” remind me I’m on the train and a little thirsty. Extreme, self-conscious, unedited prose plucks us from our fantasy world and deposits us unceremoniously back in our own. Nonsense like “The Way of Kings” is a disaster for epic fantasy, and reaffirms its reputation as a lowbrow genre. I am shocked that this is the minority opinion among readers of such a disastrous novel. And finally:The author has explicitly stated it shall be a 10-volume series.This is the kiss of death. No one could conceivably make such a preposterous estimate of length except to impress us with page count ab inisio (“so epic!”). Also, BS updates his readers on his writing progress on his website. We can objectively say that he has not outlined or planned ahead, and is therefore not justified in promising TEN novels. By committing to a 10-book series, he has made a cardinal sin of fantasy: Thou shalt not have epic length without epic content.It pains me to say this, because at times I felt that The Final Empire and Elantris were decent stories. I still do. I daresay that The Gathering Storm was one of the best entries in the Wheel of Time Series – my heart was rattling in my chest when Egwene was defending the White Tower. Here, I borrow from Mark Twain in calling this what it is: chloroform in print."
The Way of Kings,1,"Although many readers love and admire Brandon Sanderson's works I have to say after The Way of Kings that I'm not one of those people. It's hard for me to put my finger on what I don't exactly enjoy, but I know I find his writing boring and difficult to connect to overall."
The Way of Kings,1,"Clearly in the minority of readers, I found this NY Times Best Seller ""epic fantasy"" to be a verbose, bloated, complex and disjointed mess with the characters going in circles, battle after battle, flashback after flash-forward, and constantly changing voices. It doesn't even begin to come together until about page 600, and even then it doesn't really ramp up for another 250 pages, with the final result being a giant prologue to his newest fantasy series. When the 1007 page novel finally ends it isn't really over and I don't care to read another 9,000 pages of sequels to reach the real conclusion. This is one novel that would benefit from a ruthless Reader Digest condensation.But don't decide to read it or not based upon my opinion as I'm definitely not an epic fantasy aficionado and 66% of Goodreads readers give it 5 stars; less than 1% give it 1 star. I give him high marks for masterfully crafting a complex fictional world of fauna, flora, terrains, extreme ecospheres, civilizations with multiple races, cultures, ethnicities and class structures, complete with its own Stormlight Series taboo words & phrases e.g. ""storm it"". Hey, there are even multiple palindromes. And as always, I give high praise for omitting all too common obscene language, vulgarities and gratuitous sex. (*This is a ""Squeaky Clean Reads"" book http://www.squeakycleanreads.com/)His overall theme is laudable: Life before death; strength before weakness; journey before destination. Still, the clever complexity feels more like schizophrenic disorganization. With so many books, and so little time, choose carefully."
The Way of Kings,1,"I've never wanted to bill an author for my time before. But I'm finally cutting my losses and putting The Way of Kings down. I wanted to read something Big and Epic, a sprawling series about a far-off world that I could barely divine. Instead I got three storylines about moody brooders trapped by circumstance. Hey, sometimes character studies cast against epic scale can be really groovy. Unfortunately, they mostly look at their hands and wonder if they should do something. The biggest issue is the pacing. All the pacing. Characters constantly pacing around and doing nothing.It feels like Sanderson thought starting a ten-book series allowed for a full book of setup, but I feel more like I read what should've been the first 200 pages of a 1,100-page novel, not the first 900 of the same thing. Length doesn't equal epic grandiosity. The Way of Kings promises the old pull-the-cloth-off-the-table trick and then spends hundreds of pages meticulously arranging the silverware and telling you the significance of a salad fork vs. a dessert fork until you close the book and say ""you know what? I don't even want to see you pull the cloth that bad. I'm going to go read some technical manuals."" After another chapter of Kaladin being the Chosen One (you are so the Chosen One and you don't even know it, Kal!) but not really getting to do any Chosen One Stuff because slavery is like Really Bad, I decided I just wasn't enjoying this book. That was 900 pages in. The length of two or three average novels. The length of Infinite Jest if you skip the footnotes. A friend said I was just about to get to the good part, which just had the opposite effect: I put it down. I gave it one last chance a few nights ago. I picked up where I'd left off a month ago, on a chapter about Dalinar, the brave but worldweary knight who despairs at the repetitive futility of war (he also has mysterious visions ooooOOOOoooo). Dalinar goes into battle with his Totally Bitchin' Gem Sword and spends a dozen pages methodically mowing through soldiers. By the time the chapter was over, I was completely on board with Dalinar: war is wearying and winning all the time is boring as heck. But wait, Sanderson's released a sample sentence from the upcoming book three. Perhaps a taste of what's to come would whet my appetite: ""Rockbuds crunched like skulls beneath Dalinar’s boots as he charged across the burning field."" I'm sold. If anyone needs me I'll be wading through the 1300+ pages currently published in the series to see Dalinar run across the same barren wasteland he was in chapter one of book one."
The Way of Kings,1,"Dull. That's the one word I'd use to describe this. Looking at the plethora of 5-star reviews for this book I'm simply amazed. The Way of Kings is a run-of-the-mill boring drawn out watered down and try-hard fantasy. I didn't find one aspect of the fantasy elements interesting or original. Well when you're book revolves around big swords and magic armor pieces you can't really be original but at least it could be a little intriguing. The biggest problem of this book is its length, a length that it doesn't need. What this book said in 1040 pages it could've done in 200. And if it had gone the shorter route well this would've been a lot more enjoyable. I read 300 pages of this and almost gave up but because I'm a masochist I forced myself through and skim-read the remaining pages hoping that it would take a turn for the better but it didn't. The Way of Kings represents a dull world. Why? Because it's is a world in which people have magic armor and big magic swords, women cover their left hands, there's a bit of a weather problem that is never really a problem and some of the horses are giant crabs (Pretty much 90% of the fantasy of the book is this). The characters are plain and simply uninteresting. Not to mention that the names are awful (Yes, I went there. When your character names sound like they've been randomly fucking generated from a bag of syllables then you've got a problem, use some real fucking names that don't sound stupid as shit even in a fantasy world). But lemme elaborate a bit. This book series already has a map ready. A fucking map and guess how many locations this 1000 page book uses. TWO, FUCKING TWO! One of them being a fucking library and the other being a chasm filled landscape. The story revolves around a dude that fucking lays down bridges so other dudes can go fight. The other character I didn't care enough about to read fully through. Kaladin has a fucking author-given god complex. He's literally the best so everyone around him must repeat that fact. Meanwhile, explanation to the background of this world do we get? Minimal at best. People might be praising this for not being a Tolkien rip-off but at least a Tolkein rip-off wouldn't suck so much. As an introduction to Brandon Sanderson this is a colossal disappointment and an atrocity upon the fantasy genre. "
The Way of Kings,1,"Ugh. Wanted to like this book but ridiculous-spren kept sprouting up on some of the pages. The author uses an explicit form of exposition that feels less like spoon-feeding and more like force-feeding. For example, the capabilities and limitations of the shard blades are laid out repetitively early on. We could have learned this in a less direct fashion over the course of the story. I'd expect this sort of hand-holding from a YA book, but not from something not clearly labeled YA.Other things I don't like: - spren. I dislike the idea in general. they only seem to appear when narratively convenient, and the types of them are weird, feel odd, and really don't allow anyone to keep a secret from anyone else...or else misty-grey secret-spren might start appearing, followed by retreating red embarrasment-spren. - Kalidan seems waaaaay too mature for his age. He reads and behaves like a 40-year old until sporadically his youth is mentioned. - The Shallan story-line was interesting until I read about her plan, which seems ludicrous.Overall, the writing seems clumsy, the characters a bit wooden, and I just wasn't able to force myself to plod along with it."
